endpoint,num_visits,num_image_pairs,mean_tx_um,std_tx_um,mean_ty_um,std_ty_um,mean_total_xy_movement_um
"(-17678.000000000,-17678.000000000)",12,66,0.9571737295351473,5.017547006740244,-4.175350380041942,6.00049136085541,7.7805733333704055
"(-17678.000000000,17678.000000000)",12,66,-2.1946045944206607,3.6073228643907758,-0.4236758652403912,2.537363344763762,4.477323687367266
"(-7071.000000000,-7071.000000000)",12,66,2.2564724372359866,4.0275407650061705,-4.595394469689618,5.17146226433427,7.448614311814413
"(-7071.000000000,7071.000000000)",12,66,-0.001472719416423365,2.7210192511563513,-3.6292115443633803,4.910958406191182,5.68547568545496
"(-3536.000000000,-3535.000000000)",12,66,1.6261076608534133,3.2017394703075777,-4.16635217644641,4.408607224807804,6.15986812276503
"(-3536.000000000,3535.000000000)",12,66,1.7450669190366974,3.005433394314019,-3.8839652161619935,4.446550943996618,5.971234601523564
"(-707.000000000,-707.000000000)",12,66,1.10978139953943,2.055860943080444,-3.9113726422423625,4.627414920914967,5.530219915488122
"(-707.000000000,707.000000000)",12,66,0.23001543343814684,2.4665646145684104,-4.371672965294929,4.539689878109285,5.894088270439723
"(-71.000000000,-71.000000000)",12,66,1.0058871288740066,2.6643148128284,-4.420305632630096,5.143679052378874,6.533089495689286
"(-71.000000000,71.000000000)",12,66,1.5466869957714822,2.680129213818985,-4.164331366684016,5.08236225564764,6.449509142333854
"(0.000000000,0.000000000)",362,1000,0.57989664644755,2.673645954168377,-10.463480196639592,4.159997551755069,10.88945826587363
"(0.000000000,100.000000000)",24,253,1.2886091442294985,2.076692728667236,-4.840389122488514,5.0224320049901445,6.470283093484002
"(0.000000000,141.000000000)",12,55,1.7795604068161148,2.880633410293248,-5.0906588967538955,5.120180480891756,7.295653797876246
"(0.000000000,200.000000000)",12,55,1.8695466598498498,2.1537842909099982,-5.506989751331568,5.205733374080233,7.23338112673329
"(0.000000000,1000.000000000)",24,253,1.651546152456736,2.818445248135535,-3.9380802415341596,4.59993680119925,5.996124143118511
"(0.000000000,1414.000000000)",12,55,1.7927165519411605,2.1589844181665736,-3.9772115473465344,4.8205144636136605,6.1188493140704665
"(0.000000000,2000.000000000)",12,55,0.8025328346228849,1.8907249756905564,-4.710674642298563,5.2360534370061975,6.315116319669912
"(0.000000000,5000.000000000)",24,253,1.597221778734342,2.938287535427595,-3.7760682168404034,4.428237287765809,5.852678977838509
"(0.000000000,7071.000000000)",12,55,0.12650016705597564,1.924610299125888,-4.537356541885729,4.4068472203650755,5.894007705635462
"(0.000000000,10000.000000000)",37,630,0.5663158172742085,3.16307668367785,-3.6090761699630467,3.9332124661769132,5.493214389258129
"(0.000000000,14142.000000000)",12,55,1.5613363079551978,2.786708656335393,-4.567073480467677,4.487434480581273,6.262701860056097
"(0.000000000,20000.000000000)",13,66,-1.7801079140445064,3.9524538055018263,-2.2851239913731387,4.611225624387756,5.915600486520597
"(0.000000000,25000.000000000)",24,253,1.3323707171007924,2.3379584520702257,-1.6344215883258568,3.1982159567015094,3.927112111159208
"(0.000000000,35355.000000000)",12,55,1.8563727922360505,5.00464039771248,0.7661758868489018,4.05384850705859,6.0919693895860085
"(0.000000000,50000.000000000)",13,66,-2.0032290289854173,2.803568490985874,-0.5366152870252522,3.2860677009444874,4.065711405636813
"(29.000000000,-71.000000000)",12,55,1.7240764977675187,3.150981047791371,-4.939636767480206,4.784643250930725,7.008653035441347
"(29.000000000,71.000000000)",12,55,0.2938442522997205,2.442571689101797,-5.155720787333324,5.540587297006306,7.163004563598254
"(59.000000000,0.000000000)",12,55,1.006057331082347,2.2119222036317217,-5.112432523329155,5.236947864631957,6.790600680763357
"(71.000000000,71.000000000)",36,595,1.0968644668339984,2.9708674470125875,-4.558217431488244,5.0614643856465715,6.619298084450315
"(100.000000000,0.000000000)",48,1000,1.5410443767793722,2.2909147821795326,-4.931390138625412,4.846235041303825,6.478063697700164
"(100.000000000,141.000000000)",12,55,1.2902287597046165,3.0207683281514055,-5.170504333183372,5.752599696162266,7.604738347744175
"(129.000000000,-71.000000000)",12,55,2.306190094878601,3.0058637144753955,-4.6449470643514585,4.957725473271164,7.0315703827145315
"(141.000000000,141.000000000)",12,55,1.9946046205992058,2.027059405197339,-5.084704144310947,4.70367786151088,6.670994305850321
"(171.000000000,71.000000000)",12,55,2.063636752048591,3.048589357129518,-4.66821298239834,4.992263204287812,6.849382544301719
"(200.000000000,0.000000000)",12,55,0.9311392631799084,1.7741819315958425,-5.88503317362859,5.407333295388488,7.33449774528667
"(293.000000000,-707.000000000)",12,55,1.4067382233412002,2.1453475013629655,-4.804620152416238,4.64533737345467,6.16892550547337
"(293.000000000,707.000000000)",12,55,0.4482667010513803,1.9663745988159087,-4.976899520376238,4.904989745816332,6.20366509114253
"(586.000000000,0.000000000)",12,55,2.3092215166006373,2.988205435938881,-4.57666414354631,4.255316921093707,6.446746699530249
"(707.000000000,707.000000000)",36,595,1.5416389031950695,2.7096823712151936,-3.89742667545658,4.5157422780822,5.707128576667162
